,pathway,program,gene,cellline,perturbation
0,IFNB,IFNB_program1_up,GNL3L,A549,IFNAR2
0,IFNB,IFNB_program1_up,TMEM117,A549,IFNAR2
0,IFNB,IFNB_program1_up,SRSF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ACO1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PPP3CA,A549,IFNAR2
0,IFNB,IFNB_program1_up,LDLRAD3,A549,IFNAR2
0,IFNB,IFNB_program1_up,SNRNP200,A549,IFNAR2
0,IFNB,IFNB_program1_up,KLF12,A549,IFNAR2
0,IFNB,IFNB_program1_up,MLEC,A549,IFNAR2
0,IFNB,IFNB_program1_up,SORL1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MAGI1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CEP83,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRKAR2A,A549,IFNAR2
0,IFNB,IFNB_program1_up,XPO7,A549,IFNAR2
0,IFNB,IFNB_program1_up,CIT,A549,IFNAR2
0,IFNB,IFNB_program1_up,ASPH,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL3,A549,IFNAR2
0,IFNB,IFNB_program1_up,ACTG1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ACTB,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRPF8,A549,IFNAR2
0,IFNB,IFNB_program1_up,ZMIZ1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SLC4A7,A549,IFNAR2
0,IFNB,IFNB_program1_up,CAMKMT,A549,IFNAR2
0,IFNB,IFNB_program1_up,SEMA3C,A549,IFNAR2
0,IFNB,IFNB_program1_up,DIAPH3,A549,IFNAR2
0,IFNB,IFNB_program1_up,CPD,A549,IFNAR2
0,IFNB,IFNB_program1_up,DYNC2H1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SSRP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PDZD8,A549,IFNAR2
0,IFNB,IFNB_program1_up,KIF14,A549,IFNAR2
0,IFNB,IFNB_program1_up,CLTC,A549,IFNAR2
0,IFNB,IFNB_program1_up,VOPP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,VWA8,A549,IFNAR2
0,IFNB,IFNB_program1_up,MACF1,A549,IFNAR2
